Event Name,Event Venue,Event Web Site,Performers,Event Date,Start Time,End Time,Promoters,Event Purchase URL,Event Pic,Notes,City,Correct for accents and symbols
Thanksgiving Eve,Pacha NYC,http://pachanyc.com/events.aspx?event=1,Erick Morillo;Danny Tenaglia,11/23/2011,10pm,,Clubtickets,http://pacha-nyc.clubtickets.com/us/2011-11/23/erick-morillo-danny-tenaglia-thanksgiving-eve-pacha-nyc,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,New York City,na
Tiesto,Lavo NYC,http://lavony.com/Events.aspx?EventID=154,Tiesto,12/1/2011,11pm,,Lavo Group,http://lavony.com/Reservations.aspx,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,New York City,na
Two Nations ft. Kenny Dope,Sullivan Room,http://www.sullivanroom.com/sullivanroom/index.html,Kenny Dope,12/9/2011,10pm,,Two Nations,http://www.sullivanroom.com/sullivanroom/index.html,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,New York City,na
new years eve!,Pacha Buenos Aires,http://www.pachabuenosaires.com/beta3/,Carol Rios; Marcos Paz; Fran Percamili; Matias Sundblad,12/31/2011,10pm,,,http://www.pachabuenosaires.com/beta3/,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc4/162850_471879218505_15525058505_5918064_383713_n.jpg,,Buenos Aires,*
New Years Eve 'in gold we trust',Stereo,http://www.stereo-nightclub.com/,D-Formation; ESP,12/31/2011,10pm,,,http://stereo.wantickets.com/events/96613/nye-d-formation-esp/,http://www.wantickets.com/SiteFiles/GetImage.ashx?imageFilePath=SiteFiles%2fEvents%2f96613%2f2b3acabd-f39c-4312-87d1-34de2efbf2b4.jpg&maxWidth=874&maxHeight=668&maxKb=300,,Montreal,na
Static: New Years Eve 2012,The Kool Haus,http://theguvernment.com/,Steve Aoki; Thomas Gold; Mike Toast,12/31/2011,10pm,,,http://theguvernment.com/,http://s3.amazonaws.com/venuedriver_flyers/22018/ticket_event/koolhausnewyears.jpg?1320425160,,Toronto,na
New Year Eve's Party,Le Queen,http://queen.fr/,To Be Announced,12/31/2011,11pm,,,http://www.digitick.com/new-year-s-eve-party-queen-club-paris-soiree-du-31-decembre-2011-au-01-janvier-2012-css4-digitick-pg101-ri1039571.html,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,Paris,na
NYE 2011,Tresor,http://tresorberlin.com/,Cari Lekebusch; Gary Beck; Joel Mull; Mike Dehnert; Par Grindvik; Suzi Wong; Marcel Heese,12/31/2011,11pm,,,http://www.residentadvisor.net/event.aspx?308910,http://www.residentadvisor.net/images/events/flyer/2011/12/de-1231-308910-front.jpg,,Berlin,na
Going To A Gogo,Paradiso,http://www.paradiso.nl/web/Agenda.htm,Ir.Vendermeulen; Daan Modern; De Pep,12/31/2011,10pm,,,http://www.ticketmaster.nl/event/GOING-TO-A-GOGO-tickets/GO311211,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,Amsterdam,na
AgeHa Countdown 2012,AgeHa,http://www.ageha.com/,Shinichi Osawa; Ken Ishii; DJ Yummy; Masatoshi Uemura,12/31/2011,9pm,,,http://eplus.jp/sys/T1U14P0010817P002068496P0030001P006001,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,Tokyo,na
New Years Eve!,Pacha Ibiza,http://www.pacha.com/,Dimitri Vegas; Like Mike,12/31/2011,11pm,,,http://ticketsdisco.com/,http://128.122.47.38:7777/static/clubgeneric_small.jpg,,Ibiza,na
